folder,record,name,blue_before,blue_after,ew_before,ew_after,adopted
001_NGC4395_COMBINED,BEST_iter08_siiv_m2300,NGC4395_COMBINED,-78.78126855460229,-78.78126855460229,314.02885389623214,314.37886611531724,True
002_NGC-4051_COMBINED,REJECT_ALL_iter04_adopted,NGC-4051_COMBINED,1093.5475127139648,1093.5475127139648,141.65258169216534,143.13971487862975,True
003_NGC4151_COMBINED,BEST_iter04_adopted,NGC4151_COMBINED,335.5125590520637,335.5125590520637,168.2816443013804,166.20447916896143,True
005_NGC_3227_COMBINED,BEST_iter12_troughtrue,NGC 3227_COMBINED,404.4969925394556,404.4969925394556,175.4494254240577,175.4494254240577,True
006_NGC1566-NUC_FOS,REJECT_ALL_iter03_allmasks,NGC1566-NUC_FOS,-493.63657485092835,-493.63657485092835,124.55700835433441,123.16686641914869,True
007_NGC_6814_STIS,BEST_iter04_gtr_prior,NGC 6814_STIS,335.5125590520637,335.5125590520637,521.3320568770059,520.3127491987848,True
009_NGC_3516_COMBINED,BEST_iter05_grow3,NGC 3516_COMBINED,404.4969925394556,404.4969925394556,174.1659721039186,174.26955285528177,True
010_NGC_4593_STIS,BEST_iter03_allmasks,NGC 4593_STIS,749.2255466349936,749.2255466349936,182.4093134903057,183.41700582201793,True
011_NGC_3783_COMBINED,REJECT_ALL_iter03_allmasks,NGC 3783_COMBINED,749.2255466349936,749.2255466349936,77.27115348046597,77.57524421138186,True
011_NGC_3783_FOS,BEST_iter05_strongabsonly,NGC 3783_FOS,59.38121176138286,59.38121176138286,108.92262271660846,108.81513635567126,True
012_NGC_4253_STIS,BEST_iter08_absorber,NGC 4253_STIS,-78.78126855460229,-78.78126855460229,116.94163099842422,116.93610346400472,True
013_ESO_499-41_COS,REJECT_ALL_iter01_baseline,ESO 499-41_COS,680.3185584841262,680.3185584841262,4.388147338643033,4.388147338643033,True
015_Mrk_352_COS,REJECT_ALL_iter01_baseline,Mrk 352_COS,-1255.698686010786,-1255.698686010786,293.29533075698674,293.29533075698674,True
017_Mrk_1044_COMBINED,BEST_iter06_peakabs,Mrk 1044_COMBINED,197.48560807496355,197.48560807496355,80.10079908894924,80.10079908894924,True
018_NGC-7469_STIS,BEST_iter07_peakblueabs,NGC-7469_STIS,266.5087642305957,266.5087642305957,176.04355633482874,175.99589836696137,True
019_NGC_5548_FOS,BEST_iter03_fullabs,NGC 5548_FOS,-9.680667062489581,-9.680667062489581,244.95947475898134,244.95947475898134,True
020_3C_84_COMBINED,REJECT_ALL_iter03_allmasks,3C 84_COMBINED,9574.141002142673,9574.141002142673,0.0,0.0,True
020_3C_84_FOS,REJECT_ALL_iter02_combmasks,3C 84_FOS,4719.150940960838,4651.1539355138375,19.159416595838216,20.632905435263964,True
022_ESO_462-9_COS,REJECT_ALL_iter03_allmasks,ESO 462-9_COS,1231.1678756744097,1231.1678756744097,444.96638474239705,445.2373816135964,True
023_Mrk_1310_STIS,BEST_iter03_allmasks,Mrk 1310_STIS,197.48560807496355,197.48560807496355,1181.9392503385689,1179.334821572151,True
025_Mrk_40_STIS,BEST_iter01_baseline,Mrk 40_STIS,-9.680667062489581,-9.680667062489581,733.3958107371818,733.3958107371818,True
026_Mrk_50_STIS,BEST_iter04_gtr_prior,Mrk 50_STIS,-147.88187004671502,-147.88187004671502,168.3179590446759,168.3179590446759,True
027_ICRF_J171914.4+485849_FOS,REJECT_ALL_iter03_allmasks,ICRF J171914.4+485849_FOS,2261.3070191289908,2261.3070191289908,125.72523067152011,125.72523067152011,True
028_UGC_12163_COMBINED,REJECT_ALL_iter02_noncivmasks,UGC 12163_COMBINED,266.5087642305957,266.5087642305957,32.89973187445329,32.8544196375405,True
028_UGC_12163_FOS,REJECT_ALL_iter03_allmasks,UGC 12163_FOS,-9.680667062489581,-78.78126855460229,59.388366177015115,59.38201726596459,True
